"Service","EC2-Instances($)","EC2-Other($)","Elastic MapReduce($)","S3($)","SageMaker($)","Relational Database Service($)","ElastiCache($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","VPC($)","Elastic Load Balancing($)","Elastic File System($)","EC2 Container Registry (ECR)($)","QuickSight($)","Identity and Access Management Access Analyzer($)","DynamoDB($)","Key Management Service($)","Glue($)","Cost Explorer($)","Route 53($)","Secrets Manager($)","Athena($)","Service Catalog($)","Backup($)","SQS($)","Lambda($)","Systems Manager($)","CloudWatch Events($)","CodeArtifact($)","SNS($)","FSx($)","Location Service($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","SimpleDB($)","CloudFormation($)","Total costs($)"
"Service total","37813.5790489613","34424.8606627151","7993.1195376174","4827.6547182781","2879.6153452062","2794.6722207296","1976.31125","1833.1709218724","1679.05868806","1042.3819453958","866.9769544113","202.3920820819","181.1635857406","168.833334684","83.2","69.6804032979","47.4447018202","24.6906323697","17.31","11.8789562","11.7885349865","5.47058","1.8844","1.5851647246","1.1013774056","0.0574441675","0.02888","0.005581","0.0050601296","0.0044745164","0.0043302417","0.0013745","0.0000041924","9.38e-7","7.83e-7","0","0","0","98959.9321970268"
"2025-04-01","2498.1108927701","2100.6198360763","514.3738890144","275.8918436248","149.4414442328","180.2131056883","127.136","114.29893521","100.8","61.2667359915","51.0553766951","11.8172116723","11.1846459225","8.8000000704","83.2","4.0993856654","2.7595833552","1.85195956","1.12","1.655722","0.6999049992","0.282565","0","0.0932449838","0.0632123193","0.0008402874","0.001695","0.000188","0.0001506627","0.0000536154","0.0002547201","0.0001295","0.0000002453","0.000000015","0.0000000261","0","0","","6300.8388069234"
"2025-04-02","2457.6622269446","2113.9154447146","487.8328453104","277.0951958014","142.5785322746","180.106807046","123.92175","114.2185665836","100.8","61.1104082903","53.2707864401","11.8175640954","11.417825057","8.8000000704","","4.1022631798","2.7604593552","1.3467894","1","1.1709512","0.6985649992","0.594855","0.0105","0.0932449838","0.0623634347","0.0031361565","0.0017","0.000366","0.0001756664","0.0001791604","0.0002547201","0.0000795","0.0000002453","0.0000000544","0.0000000522","0","0","0","6156.3938357364"
"2025-04-03","2458.8485005896","2091.5983505284","496.5430045584","282.6259065076","263.4479883998","180.0085992506","122.26525","113.7086270607","100.8","61.0122490486","51.8033544485","11.8310960908","10.6160171223","9.333333408","","4.1018172241","2.7589536885","1.3880262","0.99","0.6693154","0.6989349992","0.517755","0.0105","0.0932449838","0.059566","0.0043615217","0.0017","0.000226","0.0000094791","0.0004223363","0.0002547201","0.0000595","0.0000002453","0.0000000666","0.0000000522","0","0","","6265.7374244302"
"2025-04-04","2410.6290543485","2074.2920739918","483.3484854864","282.3485560647","203.8207485456","179.8944457015","132.0185","113.5373546456","100.8","60.9975778641","51.7654398295","11.8412804294","9.4884599374","9.6000000768","","4.1023213067","2.7606063552","1.33420452","0.99","0.5914464","0.6990449992","0.18891","0.0098","0.0932449838","0.0570848","0.0028702679","0.00169","0.000184","0.0000066245","0.0004115629","0.0002547201","0.00005","0.0000002453","0.0000000394","0.0000000261","0","0","","6135.2141077724"
"2025-04-05","2297.8124750565","2063.8482365154","455.159414904","280.9602811257","251.2678800257","179.7893037113","127.196","113.4174686109","100.8","60.9157103825","52.2543267784","11.8414190603","9.2566733724","9.6000000768","","4.1018043375","2.7590403552","1.4049706","0.99","0.5777058","0.6982149992","0.00035","0.007","0.0932449838","0.0584336","0.0023643611","0.00169","0.000182","0","0.0003036251","0.0002547201","0.00008","0.0000002453","0.0000000394","0.0000000261","0","0","","6024.8148293127"
"2025-04-06","2342.7514381671","2058.0286070823","471.2562902832","283.7836438145","230.7933809652","179.6868318627","128.7175","113.0163640465","100.8","60.8393622286","51.3407801711","11.8414980896","10.9403900334","9.6000000768","","4.1016721595","2.7593283552","1.3612625472","0.99","0.5780708","0.6988799992","0.00035","0.0105","0.0932449838","0.0444196","0.001635788","0.001705","0.00018","0","0.0003937944","0.0002547201","0.0001495","0.0000002517","0.0000000666","0.0000000522","0","0","","6064.0381344389"
"2025-04-07","2404.2496906661","2070.9763479357","474.3524595552","286.0410734463","213.3657204247","179.5905416923","128.803","113.308827813","100.8","61.0292731871","52.0420878219","11.8419864791","10.7640869019","9.6000000768","","4.1020373805","2.7593493552","1.4705930257","1.01","0.5731688","0.6990099992","0.443555","0.1904","0.0932449838","0.059594","0.0023279005","0.0017","0.000186","0.0001582284","0.0003897529","0.0002547201","0.0000495","0.0000002612","0.0000000544","0.0000000522","0","0","","6128.1711150142"
"2025-04-08","2410.5188880773","2076.0344899413","477.9275525592","293.4208881811","197.5360554006","179.5160878293","128.45975","108.2262745493","100.8","61.0237379377","52.2023763264","11.8390516552","10.5989909774","9.9000000792","","4.1026650832","2.7598983552","1.4066684952","1.18","0.6371072","0.6715366659","2.7564","0.1785","0.0932449838","0.0580245962","0.0019443783","0.0017","0.00025","0.0000210973","0.0002439332","0.0002547201","0.0000595","0.0000002453","0.0000000544","0.0000000522","0","0","","6131.8526628743"
"2025-04-09","2328.8435322801","2076.4185392752","481.2887892912","292.7278756068","146.1720659215","179.4295101605","127.877","106.8103504469","100.8","61.2286247519","52.8985932169","11.8410575918","11.202807224","10.4000000832","","4.1017359476","2.7674823552","1.4222696328","1.02","0.573019","0.6701466659","0.05144","0.1071","0.0932449838","0.0632458554","0.0025184367","0.00168","0.000228","0.0003250703","0.00019417","0.0002547201","0.00005","0.0000002381","0.0000000366","","0","0","","5998.8136809625"
