Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Other($),2092.418458754,2093.1858799983,2085.2155317963,2090.8033414889,2093.1351393176,2063.3536334927,2225.4390111714,2261.4794406512,2260.57984532,2266.9570056934,2267.114606541,2317.2016494774,2274.4602476654,2278.7977528312,1872.3611280742,1593.1312769698,1593.905408562
EC2-Instances($),1305.0857230411,1298.4832892676,1264.3255896891,1230.7402375038,1186.9059199677,1147.0349212583,1302.9649966366,1334.1167445058,1274.3299718747,1300.7741191769,1238.0132807681,1242.7836766302,1107.156490212,1154.068986049,1135.8942108279,1071.2309766361,1058.9319698608
S3($),139.5268398479,144.2178164036,141.3036962807,141.102114151,144.275532043,142.1185658507,139.6516011432,146.2778325785,144.3813570794,141.6218322066,140.6429004725,148.5499050493,139.663311262,143.7990276405,139.6669719143,141.4156069003,141.6331341515
Elastic Load Balancing($),94.1761301446,91.9213855743,84.9267489455,84.5382276969,85.1383790413,76.7467540645,86.6498379441,83.9519426601,82.2487952736,80.6872219866,81.0554608356,99.6404917073,78.7119655188,76.082436231,82.1368646092,79.595883587,79.0864452098
VPC($),28.1962047293,27.683210847,27.2748441888,27.4196568986,27.3258177893,26.2423237577,27.4693754831,27.1378161154,32.1445880895,36.2016615186,36.0545912681,39.0537717042,36.2706140108,35.6268790707,36.5048661538,36.2784099597,36.4751293094
CloudWatch($),4.0552623739,4.0689775487,4.0728167623,4.0628345592,4.0557288119,4.0494054603,4.0645630612,1.5493139908,1.5631208325,1.5793041706,1.5790549347,1.5934294644,1.595163581,1.6043085392,1.6010661485,1.5862777823,1.551996371
Elastic Container Service for Kubernetes($),2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Secrets Manager($),1.0643916664,1.0350555553,1.0128166664,0.9820216664,0.9846566664,0.9542716664,0.9860405556,0.9422000008,0.8925850008,0.9414650008,0.8707950008,0.9423550008,0.8805900008,0.8769200008,0.8850200008,0.8605650008,0.8395000008
SQS($),0.7661692,0.7867492,0.7979524,0.7967196,0.7952864,0.782404,0.7935312,0.787206,0.7933512,0.8021688,0.76309,0.7210376,0.7357676,0.7444316,0.7646448,0.7566328,0.7540592
Identity and Access Management Access Analyzer($),9.4,,,,,,,,,,,,,,0.2,,
Cost Explorer($),0.06,0.07,0.07,0.06,0.06,0.07,0.07,0.21,0.09,0.04,0.1,0.06,0.07,0.07,0.06,0.05,0.06
DynamoDB($),0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312,0.021312
Service Catalog($),0.0,0.0077,0.0112,0.0084,0.0042,0.0091,0.0098,0.0105,0.0084,0.0105,0.0105,0.0091,0.0119,0.0091,0.0084,0.0105,0.0098
Route 53($),0.1,,,,,,,,,,,,,,,,
Key Management Service($),0.002049,0.001785,0.001908,0.002049,0.001992,0.00201,0.002472,0.002028,0.002331,0.002178,0.002181,0.002013,0.002289,0.002214,0.002529,0.002181,0.002151
Lambda($),0.0001314337,0.0002886497,0.0003958225,0.0002912214,0.0003922167,0.0002922507,0.0003836306,0.0003152487,0.0003824342,0.0003198639,0.0003628663,0.0003222204,0.000357294,0.0003365597,0.0003347209,0.0003441807,0.0003200824
CloudWatch Events($),0.000291,0.000398,0.00031,0.000232,0.000325,0.000264,0.000368,0.00047,0.000214,0.000172,0.000127,0.000394,0.000164,0.000132,0.000192,0.000153,0.000156
Glue($),0.0,0.0,0.0,0.0,0.0,0.0,1.6656e-06,1.6656e-06,1.6656e-06,1.6656e-06,1.6656e-06,1.6656e-06,0.0001806656,0.0002016656,0.0001486656,0.0001456656,0.0001626656
SNS($),7.1877e-06,2.25542e-05,6.7097e-05,4.93283e-05,5.51815e-05,5.81055e-05,7.16802e-05,8.40576e-05,4.79962e-05,4.37888e-05,3.61065e-05,7.67005e-05,4.3606e-05,4.1292e-05,4.62958e-05,4.31278e-05,4.1395e-05
Simple Workflow Service($),,9.534e-07,1.4301e-06,9.534e-07,9.534e-07,1.4301e-06,9.534e-07,4.767e-07,9.534e-07,9.534e-07,1.4301e-06,1.4301e-06,9.534e-07,1.4301e-06,1.4301e-06,1.4301e-06,9.534e-07
Step Functions($),5.001e-07,1.0002e-06,1.2531e-06,7.53e-07,7.53e-07,1.2531e-06,7.53e-07,1.2531e-06,2.529e-07,7.53e-07,1.5003e-06,1.2531e-06,1.2474e-06,1.5003e-06,1.0002e-06,1.0002e-06,1.2531e-06
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,,,,,,,,,0.0,,
Total costs($),3677.2729708787,3663.8838725523,3611.4351923318,3582.9374888209,3545.1047381418,3463.78531859,3790.523367878,3858.8872092043,3799.4563049728,3832.0393075782,3768.6283033896,3852.9795389033,3641.9803986172,3694.1040824101,3272.5077376413,2927.3403110404,2915.6715880148
