Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Instances($),39511.3557930737,41000.7166596122,35845.1022932007,31364.5391741271,27013.4273416857,28935.0850854692,31839.9388674258,27999.037459061,26353.7983717065,27001.8809091203,25081.7811874282,26835.1717458932
S3($),38058.2831534418,38108.7865853451,32573.0184706751,26563.3353598701,20609.7705363891,21412.1147308029,21823.727721509,22393.8158173752,21416.7928425835,20866.544922424,20618.085920561,20157.816665689
Elastic MapReduce($),22925.7273020884,22794.610352892,20819.0555136784,18442.4307338268,15740.4641527308,17207.1322448796,18493.157158508,17774.215410792,16236.6815875444,16678.3989724924,14598.366691128,15188.2860189504
EC2-Other($),14701.9875658601,14247.2171682427,13608.963684904,11185.9367391209,11115.2690302939,11784.4339011822,13363.9568784947,14813.0581728516,14525.4811453263,14456.9448046041,14390.3370464452,14127.051700169
VPC($),1549.0855769209,1479.5041484585,1443.7850367039,1466.957635782,1455.7030568688,1407.4303393698,1454.4914196206,1407.9492022114,1453.8890183084,1456.4006962204,1313.4030261598,1454.0930873481
CloudWatch($),752.8423865081,819.4013943697,847.3036766585,765.7344934526,594.1584664647,826.6722052154,968.8444602646,889.9935783787,703.3009454533,695.7485676442,667.1922148739,734.5010605843
Relational Database Service($),216.8885144007,224.3906656452,215.3112569173,215.3821257114,211.8372594876,220.2813974478,227.4474225758,221.0836374391,219.6643830242,218.7373284198,202.233977521,218.7936737335
Elastic Container Service for Kubernetes($),,101.267942389,144.0,148.8,148.8,144.0,148.8,144.0,148.8,148.8,134.4,364.8
QuickSight($),146.601658296,146.60165484,153.6885309888,150.7972789208,95.999998464,131.9000010552,143.999997696,144.000001152,143.999997696,143.999997696,143.9999963136,143.999997696
Elastic Load Balancing($),4.8995119555,32.7034343676,104.4891675727,157.150332535,35.5632193262,34.4160052444,37.8815156286,34.416,35.5632039669,35.5632,32.1216034667,35.5632
SageMaker($),,181.3500185314,0.3941531784,0.7777095654,,,0.0015751305,,,,,
Key Management Service($),11.0902863086,14.010366664,15.3582977865,15.37708476,15.38493576,15.41892912,15.44253147,15.43220112,15.49737876,15.49740876,15.4298923222,15.974889836
DynamoDB($),14.06594232,14.4567230405,14.0660270849,14.5349319066,14.5348073616,14.0659427595,14.5348082166,14.0659427809,14.5348073616,14.5348073616,13.1282152335,14.5348073616
Glue($),6.7910432824,6.873098536,6.629438637,6.6611149669,6.795395858,6.7651789218,7.5344279616,6.3688849201,5.0101244058,4.1033731381,3.9566459312,4.1755870115
EC2 Container Registry (ECR)($),4.641944904,4.704571321,4.741128648,4.7411286912,4.7411286912,4.9104375203,5.0140458216,5.0140458,5.0140458216,5.0140458216,5.01404568,5.0140458216
Cost Explorer($),3.32,2.74,2.76,2.98,1.36,1.09,1.28,5.29,7.3,2.49,17.22,5.4
Elastic File System($),4.237940304,4.2379403616,4.237940304,4.2379403616,4.2379403616,4.237940304,4.2379403616,4.237940304,4.2379403616,4.2379403616,4.2379402464,4.2379403616
Secrets Manager($),2.8158883413,2.8061893842,2.8103433413,2.8129428251,2.8056028251,2.8002383413,2.8030093842,2.8018294524,2.800266266,2.8054881478,2.8089493081,2.7944297069
Config($),1.683,2.22,2.328,2.139,2.307,2.379,2.673,2.55,2.607,2.691,2.454,2.487
Route 53($),1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Service Catalog($),0.0469,0.0385,0.0833,0.3983,0.4865,0.2569,0.763,0.1099,0.1323,0.1344,0.1239,0.196
CloudWatch Events($),0.10356,0.125658,0.1119,0.099539,0.102358,0.112318,0.163073,0.151756,0.162482,0.186316,0.193628,0.183552
SNS($),0.0512974073,0.0609123154,0.0506884409,0.0717930167,0.0681035092,0.0510693692,0.0692355124,0.0560236269,0.0546225019,0.0532606533,0.04786324,0.0427907104
Lambda($),0.0463477054,0.0476951044,0.0413447212,0.0388190773,0.032181007,0.0354683273,0.0459754338,0.0467272556,0.0409655309,0.0443869613,0.0420404815,0.042591723
SES($),0.0024067314,0.0034072569,0.0070170372,0.0004010677,,,,,0.0080002696,0.0326,0.0191,
Systems Manager($),,,,,,,,,,,,0.02018
Location Service($),0.001554,0.001604,0.001494,0.001624,0.0016135,0.001554,0.001624,0.001554,0.0015935,0.001574,0.0014945,0.0016235
SQS($),0.0014520086,0.00215042,0.0016456,0.0023748,0.00181,0.0009428,0.0019132117,0.0013208,0.001146,0.0009952,0.0008356,0.0004872
Athena($),0.004095,0.0005,0.0001,,,,,,5e-05,0.00115,0.0005,
Simple Workflow Service($),4.95089e-05,5.18224e-05,4.53446e-05,5.28411e-05,5.19603e-05,4.67166e-05,5.22738e-05,5.05302e-05,5.10069e-05,4.81467e-05,4.33797e-05,3.76593e-05
Step Functions($),2.6514e-05,2.77415e-05,2.4059e-05,4.0687e-05,5.6105e-05,4.98981e-05,5.59657e-05,5.25136e-05,5.40031e-05,5.10078e-05,4.5513e-05,3.69948e-05
CloudFront($),,3.15e-06,3.15e-06,,3e-06,1.5e-06,1.5e-06,3e-06,3e-06,3e-06,3e-06,
CloudShell($),,,,,,,,,,,1.16167e-05,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
Migration Hub Refactor Spaces($),0.0,0.0,0.0,0.0,,,,,,,,
X-Ray($),,0.0,,,,,,,,,,
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),117917.5751968811,119189.0794238113,105808.5405226324,90516.1386709133,77074.0525496498,82155.7919282446,88557.0117109666,85877.8975113647,81295.5743263985,81755.048247181,77246.8008179497,79315.3831499502
