Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Instances($),23089.0591332508,21455.3058350149,22484.9392071161,21663.8113954085,19245.9664592446,18907.5565701966,19534.1790627903,16449.5540320731,19503.8878248171,17957.2182867706,19052.1574253625,28019.6811799159
S3($),13250.2338170303,11716.0667877564,11619.902931788,12268.3211455084,13019.3459718183,13593.4706897394,14300.4632467751,14845.4529025268,15616.3482698012,16452.6152852146,17286.8559576149,18783.4736736491
Elastic MapReduce($),14877.640838556,13376.3574049572,13851.6906638772,13830.1129539912,12707.4798040692,12828.1813645776,13335.4570913184,11139.062578416,11834.06557962,11458.5772861214,11102.1488069248,15185.2911793942
EC2-Other($),11513.0056281678,10348.2824932325,9249.0618265605,8911.2263304114,7935.9450654389,8209.8370679252,8565.4423768236,7314.0938006505,7845.0348230184,7251.2739983693,7454.804400239,8275.7402999539
VPC($),643.4410442476,664.4279365781,643.079529852,664.4785996839,664.4719749512,642.9895772968,633.4740617837,599.7400236902,619.6525409134,619.7447624177,559.834189026,619.9304861907
CloudWatch($),80.9463738712,74.2170243757,77.0504271428,77.1405147904,74.4437077531,74.8335544387,76.986128689,70.4646656569,74.7191419091,82.6155869194,89.7110422269,96.1562471558
Elastic Load Balancing($),53.5680104457,55.3536019575,53.5680163072,55.3536013306,55.3536103776,53.5680233567,55.3536264505,53.5680030688,60.085911841,73.1353597711,66.0577353778,73.1352133104
Secrets Manager($),10.0669572302,10.0551874082,10.0328283413,10.0278998276,10.027846548,10.0131972302,10.0203656878,9.9902855635,9.997686548,10.0294791286,10.0212240604,9.9927482684
Cost Explorer($),2.13,1.96,1.81,1.3,3.48,5.76,6.31,6.19,7.22,7.25,6.48,6.28
DynamoDB($),3.8410848,3.96912096,3.8410848,3.96912096,3.96912096,3.8410848,3.96912096,3.8386224,3.96657648,3.96657648,3.58271424,3.96657648
Key Management Service($),2.176955016,2.183650968,2.1542632382,2.161810968,2.162599968,2.4697505741,3.165599694,3.1504383573,3.198581952,3.194324952,3.1690017047,3.145259694
Relational Database Service($),1.167089844,1.1670898445,1.167089844,1.1670898445,1.1670898445,1.167089844,1.1670898445,1.167089844,1.1670898445,1.1670898445,1.1670898428,1.1670898445
Route 53($),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Lambda($),0.2168131371,0.2214448184,0.2173640419,0.2213469637,0.2177183277,0.2102906543,0.2394292724,0.2302718381,0.2353878151,0.237338166,0.2182956775,0.2632810304
Service Catalog($),0.0462,0.0371,0.084,0.3983,0.4809,0.2506,0.7497,0.1022,0.1162,0.1141,0.1029,0.1694
CloudWatch Events($),0.041231,0.039676,0.036438,0.039323,0.037617,0.035173,0.039149,0.040404,0.044048,0.054028,0.045928,0.060262
Glue($),0.004596,0.004789,0.004972,0.00764,0.006525,0.004829,0.006583,0.005196,0.005366,0.004,0.004295,0.002518
SNS($),0.0029925,0.0029255,0.0021105,0.0042255,0.0035130332,0.001669,0.0037445,0.0023645,0.002139,0.001821,0.0014745,0.0007425
SQS($),0.0002828,0.0002856,0.0002072,0.0003276,0.0002412,0.00012,0.0002628,0.0001796,0.000152,0.0001304,0.0001104,6.72e-05
Simple Workflow Service($),5.04343e-05,5.13597e-05,4.58073e-05,5.33285e-05,5.14836e-05,4.67166e-05,5.32e-05,4.95768e-05,5.05302e-05,4.95768e-05,4.33797e-05,3.52758e-05
Step Functions($),2.6514e-05,2.72505e-05,2.455e-05,4.09691e-05,5.66326e-05,4.96333e-05,5.52158e-05,5.20066e-05,5.37541e-05,5.05122e-05,4.57602e-05,3.97475e-05
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
X-Ray($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),63527.889124845,57709.9524325816,57998.9430309665,57490.0417200858,53724.8598736505,54334.4907479835,56527.3267478051,50496.9531597686,55580.0474238441,53921.4995536442,55636.6626793372,71078.7562996106
