Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Other($),14006.9195614668,14207.7907263588,14432.604156634,14980.4329383592,15853.3697604079,14935.5047835012,14528.1060858714,14747.2664549765,15228.2402658491,15706.3173174404,15774.0079270874,16388.9160731864
OpenSearch Service($),6271.1255062322,6540.6402494444,6319.6938008495,6740.3689509914,6567.1904807008,5459.2599958239,6498.2481215386,7697.1842790804,7892.5097680445,7909.6620050989,7309.8749568991,8546.3504293943
EC2-Instances($),6235.7438897453,6122.2118427761,5906.897031945,6046.6272784534,5470.3371461791,4962.4167487406,5124.2880163322,4985.1278256029,5199.286034677,5326.1724923214,4964.9756526985,5624.5091790381
Elastic Load Balancing($),2207.0862083234,1850.0424127349,1614.6619933873,1621.5485612376,2319.3902254865,1914.431294989,2015.2109780564,1846.3059093369,2169.1385740035,2296.6972452267,2178.9809589839,2073.6104246016
VPC($),1360.8383856425,1339.6600573391,1292.5248511437,1346.1605304527,1347.2445973799,1300.3509426871,1340.1939200451,1356.7583412036,1432.7509689899,1397.9292215438,1271.8224688026,1397.4255636998
S3($),448.9869917024,480.7698274764,484.1475220872,506.492997491,510.9565508565,619.7659910878,774.7796297821,764.8938671685,802.9068958437,836.7840749787,856.377838578,916.0380953008
ElastiCache($),338.48,349.092,335.692,308.906,285.216,480.217,341.868,464.491,509.847,1003.3185,739.161,696.3695
Elastic Container Service for Kubernetes($),144.098016666,235.852524639,288.0,393.6,669.6,648.0,377.96668361,356.13041653,342.09991486,297.6,268.8,297.6
CloudWatch($),236.8427461763,236.9975971786,234.812787047,233.483308138,234.3596407177,227.9008039791,230.5851413496,230.0872525017,233.4134430667,229.783785723,221.4957804822,232.3340252327
DynamoDB($),30.4762282854,31.4921005946,30.4762285311,31.4920985916,31.4920985954,30.4762285237,31.4920985547,30.4762263449,31.4921006667,30.6573806716,28.4444844212,31.3877604535
EC2 Container Registry (ECR)($),9.692146296,9.9147976221,11.0689064927,13.2418992348,18.2840938989,21.7499082217,25.1808861922,27.624388231,29.7874596386,33.4539464819,41.178419478,47.1958533699
Key Management Service($),10.159379857,11.244025308,11.2149423101,11.221672824,11.214684448,11.2089336434,11.206239018,11.2139610879,11.260281792,12.048786618,12.2266421696,12.200752948
Cost Explorer($),19.83,8.25,7.64,22.68,7.0,7.77,7.47,5.47,6.6,6.37,6.89,7.4
Route 53($),0.6198512,0.6162376,0.6032828,0.6070064,0.6028346,0.5830008,0.6147504,0.6093474,0.6069742,0.6118236,0.6082238,0.6225592
Service Catalog($),0.084,0.0616,0.1603,0.8015,0.9464,0.4809,1.4875,0.1883,0.2107,0.2128,0.182,0.3213
Secrets Manager($),0.4093239208,0.4079518216,0.4071439208,0.410049456,0.4076720904,0.4024933652,0.4063118216,0.4050989208,0.4036570904,0.4035447248,0.4036850032,0.4008347248
Glue($),0.117369032,0.1184047272,0.113026032,0.116732888,0.1223637272,0.119043032,0.1190171792,0.1189080256,0.1201906888,0.1184716888,0.1162163184,0.11678298
SQS($),0.1053920465,0.1092060381,0.1054232,0.1098564226,0.1091244,0.1047192,0.1093128,0.1050888,0.1083572,0.1082208,0.0976896,0.1076116
SNS($),0.0758618868,0.0671491052,0.0599416334,0.0691401164,0.046460494,0.0477033645,0.0461338496,0.0553658061,0.0426121824,0.062364815,0.0640006561,0.0310438659
Lambda($),0.0458391572,0.056003972,0.0516347022,0.0540357518,0.0498526621,0.0504216729,0.0567412889,0.0569724953,0.0564310157,0.0608661073,0.0563037033,0.0560308085
Elastic File System($),0.02241504,0.0224150832,0.02241504,0.0224150832,0.0224150832,0.02241504,0.0224150832,0.02241504,0.0224150832,0.0224150832,0.0224150304,0.0224150832
Backup($),0.009898065,0.0098980644,0.009898065,0.0098980644,0.0098980644,0.009898065,0.0098980644,0.009898065,0.0098980644,0.0098980644,0.0098980644,0.0098980644
CloudWatch Events($),0.00993,0.009536,0.006152,0.006056,0.00367,0.003126,0.005674,0.003214,0.00361,0.003792,0.003724,0.004746
Location Service($),,,,,0.01026,,0.00501,0.003,,,,
API Gateway($),0.0001238365,0.0001184551,6.89194e-05,0.0002024514,0.0001529133,0.000157221,7.75345e-05,0.0001033786,6.46119e-05,0.0001270714,0.0001119938,7.9689e-05
Simple Workflow Service($),5.05116e-05,5.28663e-05,4.53104e-05,5.30396e-05,5.29159e-05,4.59921e-05,5.22999e-05,4.94356e-05,5.08238e-05,4.88738e-05,4.40564e-05,3.63286e-05
Step Functions($),2.76116e-05,2.83561e-05,2.51509e-05,4.25594e-05,6.04536e-05,5.33263e-05,5.84067e-05,5.35665e-05,5.46026e-05,5.11945e-05,4.60446e-05,3.73697e-05
CloudShell($),,,,,3.78e-08,,,2.8e-08,,,6.07e-08,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
X-Ray($),0.0,,,,,,,,,,,
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),31321.7791427013,31425.4367635612,30970.9735772017,32258.4632240065,33327.9864961126,30620.8766082765,31309.4787530783,32524.6077370258,33890.9177229949,35088.4091801276,33675.8004879318,36273.0310329392
