Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
OpenSearch Service($),5149.219377864,5272.9748266647,7879.5803694892,9297.6880884329,9297.1232444797,10910.8716576045,11258.9475745931,11178.0500796735,11881.1957627528,14089.5521534423,14363.8532827752,15679.0625054805
EC2-Other($),5756.721676758,5835.6211288682,6315.7914669611,7250.2178912419,9131.8257766812,11954.878742128,10265.6936517313,7618.3847526535,4794.2604181532,4777.8294876386,5255.7858481215,5450.5530189421
EC2-Instances($),3663.5884993133,3745.940763313,3631.0156176116,3746.1848131078,3758.7807189125,3649.4861834976,4219.5845511393,4106.1974539636,4676.9241498743,5197.0253869646,6260.574234899,7355.4679474703
Elastic File System($),4.3561272679,4.6588853436,4.4004991754,4.2483179755,4.4062941527,4.3240684136,4.2698868578,1291.8205108796,9693.41091547,9872.134851374,9801.3790848169,11768.634982019
S3($),2032.7779256396,2212.6092436563,2385.9512964179,2722.5295466917,3034.8412121828,3249.7713200771,3343.7012773393,3494.4293183448,3651.0551500543,3740.5488132674,4040.0611419745,4536.3861827382
Relational Database Service($),504.2436835315,521.8797927561,510.0422661363,530.5013836621,544.4861141737,528.4764239941,536.8321926413,517.0499500196,527.5096085872,535.0438647082,493.9211600447,545.9384699387
VPC($),388.5970373129,402.1702124734,388.3024769108,403.149584787,401.9026290269,392.7493306865,401.9698234736,389.3557311041,397.2288417563,400.224507016,361.4636911255,397.7921070149
Elastic Container Service for Kubernetes($),375.50413903,74.4,72.0,74.4,74.4,72.0,74.4,132.0,446.4,446.4,403.2,270.47116972
Backup($),5.4365813428,5.4638701891,5.467642069,5.4630036406,5.4918780763,5.5143911463,5.5010087107,9.4146490871,296.7183957754,552.2225076805,565.3955325148,586.1654381207
Elastic Load Balancing($),68.927135472,71.228926726,68.9405308912,71.2383355977,71.2301269196,68.9302144701,71.2105926007,68.9060841226,71.1886323751,71.230977565,64.3119754374,71.2347598866
CloudWatch($),61.2537240546,60.3095338561,58.7458648055,58.4766431597,58.4410772813,55.2933396035,56.5549368353,59.3458688944,59.0637019308,61.4945436731,54.7541076795,56.3517453202
Secrets Manager($),1.6105583174,1.6142738992,1.6071133174,1.611812824,1.6090883616,1.6031805396,1.6096233616,1.6020110952,3.6384698346,4.407667047,4.40408473,4.3906530685
Key Management Service($),2.169041016,2.172712968,2.147495016,2.142655968,2.149819968,2.149379016,2.155507968,2.148359016,2.182438968,2.180932968,2.1635149488,2.135257968
SQS($),0.1987080781,0.2096256,0.1926418039,0.2198316594,0.2252778845,0.2091492674,0.2051076,0.197912922,0.2373126004,2.3486868233,9.6646344233,6.8163194102
Cost Explorer($),0.75,0.62,0.97,0.54,0.38,0.89,0.94,0.98,1.86,1.85,1.66,2.04
DynamoDB($),0.6393621417,0.6606742382,0.6358100686,0.660674106,0.6606741762,0.63936204,0.6606741762,0.639361972,0.6606741914,0.660674232,0.5967389568,0.660674232
SNS($),0.0023743603,0.0022355115,0.0021592015,0.0031396162,0.0026897968,0.0013463296,0.0028245,0.001860303,0.0096433243,0.5832726479,2.4565734876,1.5286524433
SES($),0.3509718995,0.3630372182,0.3528761474,0.3499346565,0.3508202878,0.3500199175,0.3504947904,0.3328254594,0.3251665965,0.3339171947,0.28785718,0.3361920967
Route 53($),0.40317,0.2892986,0.3469634,0.2880854,0.3034252,0.2944914,0.3061586,0.3334016,0.3061182,0.3237364,0.2985706,0.318812
Service Catalog($),0.0434,0.0378,0.0882,0.399,0.4767,0.2506,0.7532,0.1022,0.1162,0.112,0.1015,0.1687
Glue($),0.004643,0.004837,0.00494,0.007449,0.006356,0.004814,0.00659,0.005454,0.005243,0.003912,0.004272,0.002579
CloudWatch Events($),3.6e-05,0.000124,,3.6e-05,,,,2e-05,2.4e-05,0.000462,0.001192,0.000462
Simple Workflow Service($),5.04343e-05,5.27478e-05,4.627e-05,5.23783e-05,5.19603e-05,4.48098e-05,5.32272e-05,4.95768e-05,5.00535e-05,4.91001e-05,4.2903e-05,3.24156e-05
Step Functions($),2.62685e-05,2.7987e-05,2.455e-05,3.99514e-05,5.58427e-05,4.98931e-05,5.54557e-05,5.20009e-05,5.30123e-05,5.15069e-05,4.57543e-05,3.40286e-05
CloudShell($),,,3.01e-08,,,,,,,,,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),18016.7982491024,18213.2318836164,21326.5863002729,24170.3203198567,26389.0940313646,30898.6881088343,30245.6557856015,28871.2979066881,36504.2969705104,39756.5124552496,41686.3390863728,46736.4566953141
