Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
Relational Database Service($),638898.547161953,539449.7070811468,515270.0146306215,521774.8005304334,480575.154957874,488467.212028107,498734.8857188627,459798.4281678421,494276.2523175969,498012.0470681167,410095.1287473094,425780.8958048376
EC2-Other($),120534.0268571862,108272.9252091511,103106.9947475028,101985.6815881019,87285.890771607,79669.722240485,81705.8788689748,80467.7018979615,81203.077521832,81199.7276183399,80151.1977354706,82944.5140152453
EC2-Instances($),74327.4371882883,63017.249158709,56482.8098530304,56706.1281757592,54185.5162776789,54364.516388897,59652.1128315859,59725.5081223407,64451.2326390713,64913.2034908602,61371.2738883947,71244.7367130591
DynamoDB($),19979.9049386396,21614.4585431324,19462.9289757042,21240.7049774791,21218.9056080232,21425.0757105477,22625.5825531598,24272.1907445392,25564.256245253,23622.432146957,23107.0793066454,24232.6723812689
DocumentDB (with MongoDB compatibility)($),15773.8510261642,16304.4409370787,15394.3450648149,12156.8556193523,9887.7084568068,21847.324780658,17959.1114870227,17270.5829113026,17677.520238719,17639.8454516704,16131.7501820751,15142.5888638624
API Gateway($),19314.0046967049,12221.0721400931,11754.01945756,12306.6812402614,14489.855812111,11737.2560402544,12712.9132790157,11889.239749819,12827.1594528227,12981.0599510437,12503.8789578723,14321.6050971539
OpenSearch Service($),6834.9503872327,7025.4073950559,6243.3007401409,6035.2409146412,6037.4571997017,8073.1871687802,8581.6329470894,8325.313028005,8163.0210957912,8192.209048058,7303.4933106683,8037.9909619508
S3($),17925.6790616355,17706.0803653265,17305.0907280233,4606.9325968372,2625.407319079,2678.5889449078,2853.0261837034,2938.9477002111,3129.4562164993,3207.357271068,3067.2173307187,3252.1239743935
CloudWatch($),3573.8115307277,2843.1680649147,2637.9087110593,2730.2417017442,2864.0317747521,2650.7701373435,3104.4484214404,3219.2140452487,3372.2559458781,3608.3949424655,2977.5671630566,3359.9539998052
Elastic Load Balancing($),3430.2528526258,2874.3905023572,2715.0504908659,2602.129239264,2593.1545971433,2654.5763960221,2909.3396091568,2831.4285229646,3029.4160413351,3034.0323357978,2848.2466340173,3232.2080714471
DynamoDB Accelerator (DAX)($),2643.84,2731.968,2643.84,2731.968,2731.968,2643.84,2731.968,2643.84,2731.968,2731.968,2467.584,2731.968
Lambda($),1839.6671349679,1156.5846784293,1131.0825727691,1168.7661942611,1262.7608156807,1156.2432143033,1250.9849333936,1172.3230508812,1261.5727221101,1274.2855704411,1213.9810335398,1390.0016487784
VPC($),819.8684969554,542.2118202548,509.0699211003,538.1223125148,575.4744425788,585.480971695,618.867502849,567.1656105893,595.9834959619,601.3377640831,547.5559797815,622.4687673299
Elastic Container Service for Kubernetes($),659.635767665,74.4,72.0,95.16948861,74.4,72.0,74.4,72.0,74.4,74.4,67.2,182.4
ElastiCache($),,,,,,867.611349946,,,,,,
Secrets Manager($),8.6196622422,8.6699140466,8.6369300239,8.685518724,8.670478724,8.6546066906,8.6790380788,8.6647883572,8.652143724,8.7054696918,8.6561,8.6623493692
Athena($),4.89513,10.724645,1.436525,5.62512,10.90868,10.01102,15.274635,1.75259,0.236505,1.05989,19.67799,6.05394
Route 53($),4.8506086,4.0514804,4.0943342,3.7103462,2.9654264,3.7924752,3.7105544,3.9346542,3.9293732,4.0587028,3.6556332,4.185284
