Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
S3($),22544.4939641519,22848.4658275259,21727.8260782089,23536.1566255203,24467.4845363427,25627.5258907631,25257.01441927,26020.8583640103,26522.9863518272,28579.3003909264,28560.4124437104,28779.3284379856
EC2-Instances($),20111.8541018906,20588.2702170085,18122.3330852317,19225.6334825711,19065.5494646002,19587.9155211328,20424.7743081257,20117.2171513309,21023.7498156926,22314.5629575155,21908.2064422593,23766.1584425662
Relational Database Service($),4678.4816186336,5428.1860085217,5426.0688338345,5570.3897886486,5569.0778430162,4648.349581471,4707.5235528706,4589.2174897888,4703.0959672118,4709.2974310878,4437.0597281247,4807.7971254789
EC2-Other($),1236.5423579412,1414.3373928025,1369.0715247629,1395.6238388391,1376.2810654925,1361.0785007742,1379.1737535556,1303.4367013786,1322.9431728274,1342.2902400333,1343.4630830789,1326.8439886529
VPC($),1023.1594772172,1053.7893478616,1002.4941274888,1047.2076103159,1044.0903830602,1011.4861189279,958.6686234945,867.3105908965,898.6396135161,912.1899080629,820.1187272968,913.3293619356
Elastic Container Service for Kubernetes($),848.66342139,520.8,504.0,520.8,520.8,189.00093861,148.8,264.0,415.524890555,148.8,134.4,148.8
Elastic Load Balancing($),192.8278259078,204.8194662433,194.3099398337,202.9740633377,202.7344289016,196.2151652711,201.5289648757,194.6073055249,210.9918970973,223.0907097293,200.976412646,235.8304092961
Elastic File System($),100.3527739816,163.3496918073,159.3173093913,169.997827727,159.7500272371,114.0387006356,105.8280340236,96.3462672463,108.9835228731,114.1069043332,113.1959279963,123.6569648768
CloudWatch($),86.5726388649,81.6150645622,76.5052408084,79.4373978288,78.4364130923,76.2702917491,79.5171566301,79.96254876,78.8070872767,83.0012120473,83.059298051,90.5637075159
Config($),33.63,34.752,33.66,34.782,34.782,33.66,34.822,33.66,34.782,34.782,31.416,34.782
Key Management Service($),8.373899064,8.391766872,8.3486789528,8.340385872,8.349700872,8.7107920671,9.333362082,9.3788278504,10.38195384,10.39114284,10.3434028591,10.97751055
Backup($),4.0781236994,4.1953541869,4.3085408561,4.4458874068,4.4804156334,4.5135627559,4.6395302314,4.7779423265,4.8483692335,4.9281305897,4.9215554303,4.9695027282
Cost Explorer($),2.83,3.15,3.25,2.94,3.29,3.45,3.77,3.57,3.78,3.82,3.39,3.3
Secrets Manager($),1.6400733192,2.013370936,2.0127939048,2.022645452,2.016945452,1.6225716522,1.6063867488,1.6079333174,1.6066133616,1.6075188992,1.6027021556,1.6043768024
EC2 Container Registry (ECR)($),0.9990091636,1.1972645904,1.1972646,1.1972645904,1.1972645904,1.1972646,1.1972645904,1.1972646,1.2679589382,1.3536796536,1.353679824,1.4247062428
DynamoDB($),0.6442863843,0.6657621504,0.644285952,0.665762112,0.6657621504,0.6442859528,0.6657621504,0.6382715136,0.6632171851,0.66321648,0.5990352768,0.66321648
Lambda($),0.2692968507,0.2754809954,0.2544068833,0.2417585254,0.2369732976,0.2305412086,0.2570370873,0.2489472488,0.2549183562,0.2574384963,0.2346104882,0.2702655949
Service Catalog($),0.049,0.0371,0.0854,0.406,0.4809,0.2464,0.742,0.1134,0.1246,0.1218,0.1113,0.1603
Route 53($),0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CloudWatch Events($),0.04613,0.04751,0.051194,0.056429,0.064434,0.064024,0.067526,0.062645,0.066705,0.064015,0.059807,0.063823
SNS($),0.0105573691,0.0105024109,0.0101954316,0.0138775613,0.0141516797,0.0108462872,0.0140379749,0.0116140454,0.0120585963,0.0109551768,0.0101342767,0.0102332951
Glue($),0.0047376544,0.00498806,0.0050586544,0.0076628976,0.00660206,0.0049306544,0.0067728976,0.0054769872,0.0053688976,0.0041728976,0.0046487168,0.00272306
SQS($),0.0013412,0.0014256,0.001096,0.0015904,0.0011984,0.000574,0.001296,0.000866,0.0007364,0.00061,0.0005256,0.0002376
Simple Workflow Service($),4.99716e-05,5.22851e-05,4.58072e-05,5.14529e-05,5.29137e-05,4.71933e-05,5.27505e-05,4.86234e-05,5.05302e-05,4.81467e-05,4.14729e-05,3.43224e-05
Step Functions($),2.6514e-05,2.77415e-05,2.4059e-05,3.97179e-05,5.68755e-05,5.04133e-05,5.59674e-05,5.17582e-05,5.27665e-05,5.0502e-05,4.5007e-05,3.54997e-05
CloudShell($),5.27e-08,,,,,,,,,,,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
X-Ray($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),50875.6247112218,52358.4756221616,48636.2551246614,51803.4419897768,52539.8906196675,52866.3366001196,53320.0518973265,53588.3297082072,55343.6169219824,58484.7445324176,57655.0395512708,60250.6374034835
