Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
EC2-Instances($),753.2563760808,787.6294810463,736.2358178844,914.0947938551,689.9077833994,600.200877092,790.2862976336,889.4569970532,694.2168428757,693.5973362229,588.5215114693,491.6807512442,471.7896268297,503.710146956,610.8971502807,597.1482269384,639.2183954915
Elastic MapReduce($),456.8053860036,458.1385074972,477.0014741568,568.572629814,465.525684702,413.3854669572,508.7341838448,558.023521356,449.1734727096,432.6709434624,377.074639998,344.601561456,329.4300380832,345.009601728,389.8715388048,392.4549262224,403.093138464
S3($),160.6714597191,170.8195143831,168.3214763765,175.9808785777,162.3372384274,162.3230947416,164.7434003726,171.8010335099,167.5983518429,172.5319543155,169.1342539038,157.479137025,160.0028925071,162.424152417,162.5620973525,169.6501154381,162.0083760727
EC2-Other($),177.5150368763,157.1417600403,148.1915912004,173.1792325743,177.3506322108,157.4886618024,191.2551510327,203.3812977277,165.3460089845,168.5517252459,151.7592946086,147.6386757226,143.6721869904,147.5127342794,156.2247076117,156.5348141312,158.1287674181
Systems Manager($),0.05112,3.09472,33.06907,32.22438,31.23279,30.63535,32.03014,30.33753,30.06466,35.09622,31.50853,32.56396,33.24737,31.33312,35.75067,34.08803,34.35015
Relational Database Service($),12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681,12.613714681
VPC($),10.8224282195,10.8214601385,10.8399048924,10.9612329448,10.842064739,10.7994654402,10.8517762754,10.8983562353,10.8263984303,10.805411958,10.7979828089,10.7786005802,10.7775270316,10.7813673529,10.7911123466,10.8038451505,10.8063964711
Transfer Family($),7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
CloudWatch($),1.5261717381,1.5308592335,1.5384320864,1.5366697716,1.5366697716,1.5387531051,1.5485299611,1.546679944,1.5473073589,1.5505736916,1.5565101462,1.5533378314,1.5533378314,1.5585934798,1.5595068134,1.5635693137,1.5695068142
Elastic Load Balancing($),0.6384000489,0.638400337,0.6384003809,0.6384007452,0.6384000229,0.6384002745,0.6384003553,0.6384006985,0.638400494,0.6384007306,0.6384007253,0.6384007402,0.6384003935,0.6384006929,0.6384012883,0.6384009304,0.6384003645
Cost Explorer($),0.08,0.12,0.11,0.09,0.09,0.1,0.1,0.24,0.14,0.38,0.17,0.09,0.08,0.09,0.17,0.12,0.15
Route 53($),0.3,,,,,,,,,,,,,,,,
Service Catalog($),0.0,0.0084,0.0119,0.0098,0.0042,0.0105,0.0105,0.0091,0.0105,0.0098,0.0098,0.0119,0.0119,0.0105,0.0098,0.0105,0.0105
EC2 Container Registry (ECR)($),0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112,0.0037913112
Key Management Service($),0.002514,0.002661,0.002364,0.002589,0.002697,0.002367,0.002769,0.00255,0.002697,0.002589,0.002991,0.002589,0.002991,0.002589,0.002847,0.0027,0.002769
Glue($),0.0,0.0,0.0,0.0,0.0,0.0,0.002478,0.002478,0.002478,0.002478,0.002478,0.002478,0.002685,0.002645,0.002655,0.00268,0.002652
Lambda($),,0.0023004064,,,,,0.0012164627,,0.0022897292,0.004816888,,,,,,,
SNS($),0.0,1e-05,2.15e-05,1.7e-05,1.55e-05,2.15e-05,1.9e-05,2e-05,1.75e-05,1.5e-05,2.55e-05,2.15e-05,2.1e-05,2.35e-05,1.95e-05,1.95e-05,1.9e-05
Secrets Manager($),,1.5e-05,1.5e-05,1.5e-05,1e-05,2e-05,1e-05,1.5e-05,1e-05,1.5e-05,1.5e-05,2e-05,1e-05,2e-05,1.5e-05,2e-05,1e-05
SQS($),8e-07,2.4e-06,1.6e-06,2e-06,1.2e-06,2e-06,2e-06,2.4e-06,8e-07,1.6e-06,2.4e-06,2e-06,2.4e-06,2.4e-06,1.2e-06,1.6e-06,2e-06
Simple Workflow Service($),9.534e-07,9.534e-07,1.4301e-06,1.4301e-06,4.767e-07,1.4301e-06,1.4301e-06,9.534e-07,9.534e-07,9.534e-07,9.534e-07,1.4301e-06,1.4301e-06,1.4301e-06,9.534e-07,9.534e-07,1.4301e-06
Step Functions($),2.472e-07,1.2474e-06,1.2531e-06,1.0002e-06,1.0002e-06,1.2531e-06,1.2474e-06,1.2474e-06,1.0002e-06,1.0002e-06,1.5003e-06,1.2531e-06,1.2474e-06,1.2531e-06,1.0059e-06,1.2531e-06,1.2474e-06
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,,,,,,,,,0.0,,
Total costs($),1581.4864006791,1609.7655996753,1595.7779777532,1897.1081497052,1559.2856944422,1396.9404885884,1720.0223826079,1886.1554901176,1539.3869436709,1535.6597890607,1350.993944006,1206.858943775,1171.0264977366,1222.8914054814,1388.2980301495,1382.8353574234,1429.7965917658
