Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
EC2-Instances($),47024.5091002284,50141.0088648631,48745.4231110345,40285.6917784798,34499.7492819248,32066.4498720189,33508.0506110083,33405.4605931644,38867.2272100635,37358.9734988469,35500.7292717952,38585.1014592307
EC2-Other($),27154.4205734457,30852.8531729772,30232.7610723927,27979.5976633424,25961.5903762658,22860.4879493297,22513.5790399462,22494.9766407066,22983.0195037003,22650.020920376,22669.4059602941,23650.9261068423
S3($),19990.8900295893,20065.5525439882,19452.1232812797,19860.3447864864,19124.0106244237,19065.5594621795,18882.2058406927,19086.4284517432,19549.8793341898,20633.231063127,20651.4265259114,20952.252265022
Elastic MapReduce($),13791.3974191552,13807.9041889544,13986.8445488904,13889.5040291536,14937.4171757328,14251.9894246424,14891.6322222224,14808.5602368936,17432.0219125572,16039.5397946784,14770.9235688252,14623.1814823456
Elastic Load Balancing($),15137.1842995529,17567.8098243615,17154.2546424626,12622.137999411,7594.0157616094,5614.5151869264,5589.0800160108,5141.6716529179,5422.9961372057,5542.950368935,4999.4379033915,6015.2776921974
Relational Database Service($),2025.4199683765,2088.5017199591,2067.8978280295,2348.5491113028,1935.9311547748,1626.0569990123,1300.4551134296,998.8557710658,1027.7549089917,1028.2620077149,941.6853049482,1027.8065942812
VPC($),1059.2431818784,1061.2830469063,1033.8532784688,1053.0352560211,1026.2898398336,987.0084226085,1021.2315741218,986.4652675398,1018.9229593043,1018.8416386511,921.9042173653,1021.7640437976
EC2 Container Registry (ECR)($),478.5960559315,477.7017879039,479.7125551476,478.1817117507,471.411319713,471.6577672014,471.7179920608,471.6351018691,471.7146125143,471.6608580673,471.6730991706,471.7093834204
Elastic Container Service for Kubernetes($),917.70212236,752.044892915,576.0,595.2,254.020639002,144.0,148.8,264.0,632.40033111,409.39889111,134.4,148.8
DynamoDB($),214.9364911616,219.3446381916,215.5983747016,219.8357711078,225.5996177452,219.966966172,221.842544853,213.7122286052,223.7134763389,224.3358699573,204.881717393,225.9084185742
CloudWatch($),199.6349413499,197.5784834394,222.4781373479,186.7587802571,147.8623935715,145.9134439134,146.0132065632,146.3042447854,146.5073647177,151.1348018309,150.5202941311,149.0114441402
Key Management Service($),125.7902712146,102.086204728,99.475076784,99.497586432,99.522990432,99.527339784,99.524388432,100.1330809009,107.668451304,107.658275304,107.5339083024,107.385854132
QuickSight($),96.000000768,95.999998464,96.000000768,95.999998464,95.999998464,96.000000768,95.999998464,96.000000768,95.999998464,95.999998464,95.9999975424,95.999998464
Glue($),42.7118114739,40.8128341683,40.5333057788,40.7122974495,40.8336907519,40.6607204676,41.3620776686,41.073849188,42.163774651,41.8235834906,40.5611121408,43.0378454823
Lambda($),128.254380139,128.0823391518,19.8987110141,20.5300466901,20.7153144669,19.9852419703,22.0410464819,21.3010956196,22.2362148592,22.3969732142,20.2929087265,22.4508703614
Secrets Manager($),21.7435416668,21.7081965652,21.6727755556,21.7251438232,21.7224280704,21.6005394444,21.6371915652,21.6391961112,21.6551880704,21.670017694,21.6510071141,21.588422264
Elastic File System($),15.150043152,15.1500431328,15.150043152,15.1500431328,15.1500431328,15.150043152,15.1500431328,15.150043152,15.1500431328,15.1500431328,15.1500431712,15.1500431328
Route 53($),12.152696,9.6685638,9.1070504,11.5580774,16.1491122,11.5180292,10.0789108,9.6682334,12.1975358,14.502474,10.6371282,17.6143928
ElastiCache($),10.522128384,10.5221283264,10.522128384,10.5221283264,10.5221283264,10.522128384,10.5221283264,10.522128384,10.5221283264,10.5221283264,10.5221283552,10.5221283264
Cost Explorer($),3.43,7.78,2.7,2.77,5.95,2.73,3.14,2.83,4.0,11.09,3.42,3.93
CloudFront($),27.8234694,,,,,,,,,,,
Systems Manager($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97323,4.418,4.77149,3.79516,5.23376
Athena($),16.71241,0.007075,,,,,,,,,,
Redshift($),0.82764,0.8276256,0.82764,0.8276256,0.8276256,0.82764,0.8276256,0.82764,0.8276256,0.8276256,0.8276352,0.8276256
Service Catalog($),0.1869,0.0392,0.0882,0.4018,0.4683,0.2639,0.7287,0.1085,0.126,0.1204,0.1099,0.1834
SQS($),0.1941345488,0.1978311101,0.2001550249,0.22975,0.2105396,0.1381924,0.1789296,0.1455152,0.1599904,0.1684276,0.1596572,0.15335
CloudWatch Events($),0.080458,0.041017,0.0639,0.071045,0.068259,0.036007,0.054333,0.063723,0.085965,0.090914,0.088675,0.098664
SNS($),0.0491392416,0.0505410787,0.0381460521,0.0722332489,0.0619034793,0.0320212989,0.0650986562,0.0444375248,0.039262661,0.0348559473,0.0282933014,0.0171067375
CodeArtifact($),0.014301768,0.0149050608,0.0146970489,0.0149050608,0.0149050608,0.015401904,0.0149050608,0.015401904,0.0154941437,0.015969708,0.0153233184,0.015969708
Direct Connect($),0.0189475116,0.0261030868,0.0284465664,0.009010886,,,,,,,,
SES($),0.0021010928,0.0060026494,0.0021007402,0.0036011778,0.0036015218,0.0063023143,0.0129038655,0.0048018073,0.009903848,0.0093053637,,
Simple Workflow Service($),1.80873e-05,2.80723e-05,4.67327e-05,5.28518e-05,5.14836e-05,4.67166e-05,5.2301e-05,4.95768e-05,5.10069e-05,4.91001e-05,4.24263e-05,3.57525e-05
Step Functions($),1.03598e-05,1.54866e-05,2.43063e-05,4.07137e-05,5.63524e-05,5.01807e-05,5.57006e-05,5.17598e-05,5.35065e-05,5.10131e-05,4.62589e-05,3.79946e-05
Location Service($),,,,,,,,,,8e-05,0.0001,0.00015
Glacier($),7.28962e-05,6.50138e-05,,,,,,,,,,
API Gateway($),2.5803e-06,,,,,,,2.3848e-06,,,9.06253e-05,
CloudShell($),1.2971e-06,,,,,,,,,1.8179e-06,,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),128495.5986626112,137664.6038819547,134483.2692780633,119838.9322735697,106506.1191325389,97772.6190989893,99015.9465495638,98342.5711699722,108113.4334314673,105875.2023770709,101747.7810201085,107215.9485446071
