Service,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
Relational Database Service($),128989.4718918925,122495.1602251936,118607.2522443337,110432.2932492057,107030.3791813534,104233.0143795173,112238.557235133,111295.7450946179,126349.9780366234,115846.6747375155,111923.9044996984,119484.118000696
EC2-Other($),25729.3155170128,25164.9533246062,25123.1094886485,25496.9971124778,25510.8739673376,25502.689644437,26002.2286196717,25785.49421051,25981.5540468939,26028.8650797126,25635.243601188,26907.7170451364
EC2-Instances($),13417.1573023133,13749.5783375138,12974.9668127608,13671.1637312163,13373.7845000975,12884.4400035916,14136.7832291099,13714.644348085,14474.2223651332,14618.1358905936,13952.3718740165,15735.6547453674
S3($),3833.5366964792,4115.721543609,4190.0806634737,4149.391319301,4359.94772555,4470.8244854346,4651.6809462622,4488.7028969019,4391.564918207,4360.1741998689,4365.9845996994,4453.7043545972
API Gateway($),3943.4778378682,3941.0848015002,3923.4040404657,3938.4609503302,3813.2842015315,3820.0572026566,4409.2570396956,4326.5041742003,4706.5184374957,4806.8950325151,4548.1636433178,5149.337227826
CloudWatch($),1285.4625948676,1266.1804096439,1260.2286997714,1264.606180687,1230.7286153166,1224.753740657,1395.0413929991,1377.045016243,1501.1340211463,1527.2943683869,1452.0879422879,1652.0526890777
VPC($),834.1942457206,706.8945402621,700.6433480299,719.3144062968,722.0730949872,706.7843277669,765.6429095484,744.1838932469,769.5438353509,774.0767667976,721.3263898949,833.5670992006
Elastic Load Balancing($),777.3594548322,738.7377550011,744.6050478753,762.3970599938,650.2470528402,656.9324876447,739.0790477547,712.1762984844,760.4258572463,757.6627210568,718.2298259492,809.1311196163
ElastiCache($),315.0376578992,333.1051589528,334.6366367472,346.0922523144,346.091247864,334.9333836744,346.0972693224,334.9351772328,346.0983661152,336.9362178896,295.670767388,327.2901910728
Elastic MapReduce($),29.4663584952,390.8376935904,61.3585310934,,,,,,,,,
Key Management Service($),1.221376008,106.029438984,43.505758008,1.186311984,1.193940984,1.180972008,1.200048898,1.192777008,1.236435984,1.336942692,2.2088779488,2.163931968
DynamoDB($),1.2787312361,1.9473962721,1.9180924341,1.9820284418,1.982028497,1.9180931234,1.9820289764,1.9180940599,1.9820302848,1.9820302946,1.736942448,1.982030508
Secrets Manager($),1.0841439007,1.2481891744,1.2423916906,1.255148368,1.2417362712,1.2313750239,1.2355725616,1.2415950239,1.2388291744,1.2398549808,1.2331342953,1.2336341744
Cost Explorer($),0.77,0.61,0.96,0.53,0.37,0.87,0.92,0.97,1.84,1.83,1.65,2.0
Lambda($),0.8528774726,0.8721282904,0.8357195732,0.8298175347,0.8802157902,0.8668426118,0.9618489469,0.9357567354,0.9703375279,0.9759172611,0.8888149274,0.952239882
Route 53($),0.5236824,0.437837,0.4449304,0.4319356,0.4282618,0.4248594,0.4439076,0.441293,0.4465276,0.4559996,0.4432756,0.455589
Service Catalog($),0.056,0.0378,0.0847,0.4004,0.4851,0.2653,0.7483,0.1141,0.1302,0.1239,0.1127,0.1771
SNS($),0.0329135145,0.022761468,0.0285494023,0.0328698031,0.026862261,0.0157064687,0.0316031723,0.0352062561,0.0565702589,0.0253637261,0.0242321213,0.0330970147
CloudWatch Events($),0.011315,0.009603,0.010242,0.012907,0.010567,0.009841,0.01035,0.010096,0.011122,0.010565,0.009842,0.012324
Athena($),,,,,0.003935,0.059205,,,,,,
Glue($),0.0047059808,0.0048844256,0.0050369816,0.00753136,0.0065669116,0.004854799,0.00665992,0.0052909936,0.00523792,0.00398392,0.004484832,0.0028525
SQS($),0.0002796,0.000286,0.0002192,0.0003236,0.000242,0.0001176,0.0002452,0.0001772,0.000148,0.000126,0.0001108,7.12e-05
Simple Workflow Service($),4.99716e-05,5.13597e-05,4.48819e-05,5.19371e-05,5.2437e-05,4.57632e-05,5.27233e-05,5.00535e-05,5.10069e-05,4.81467e-05,4.38564e-05,3.38457e-05
Step Functions($),2.67604e-05,2.7987e-05,2.455e-05,3.99593e-05,5.63662e-05,4.93948e-05,5.6204e-05,5.30076e-05,5.25077e-05,5.12544e-05,4.55016e-05,3.42245e-05
CloudShell($),,,,,,,,,2.63e-08,,,
Glacier($),,,,,,,,1.93e-08,,,,
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0
X-Ray($),,,0.0,,,,,,,,,
CloudFormation($),,,,,,,0.0,0.0,0.0,0.0,0.0,
Total costs($),179160.3156592255,173013.4741938343,167969.3212223213,160787.385627411,157044.0391521962,153841.2769175729,164691.9083636995,162786.2955988795,179288.9574265028,169064.6997972123,163621.2956477709,175361.5854109077
