Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
Relational Database Service($),22525.3393575047,22495.1683353799,22481.3889723653,22369.8028150393,22210.4995314296,22318.5388538435,24559.9831162036,24329.9069317237,22529.8547921923,22487.8828433009,22414.5754770128,22426.0042524849,22046.7602915506,21759.1666825786,21567.0162668132,20790.410960208,20646.4308653472
EC2-Other($),4218.467654854,4206.0485358123,4183.2353127314,4202.6469071705,4219.4446881063,4245.4598655386,4397.3892621151,4348.0662727525,4180.2468319586,4177.6880930603,4145.0916709188,4154.1489095214,4052.1195330982,4016.9719543557,4001.1804069591,4009.786153152,3945.5391898287
EC2-Instances($),2677.7659663391,2679.9226419528,2675.9037697158,2688.4224632394,2654.85032368,2652.2519495504,2762.7672608106,2796.4214036435,2677.6101216762,2694.569369752,2664.2858077664,2656.7479393803,2640.9870169202,2570.8033145185,2543.849409834,2434.8703738304,2429.3770936139
API Gateway($),1193.126676535,1017.0821876889,865.514659324,831.4106417821,844.1863273084,850.22272006,843.6359852305,828.8097818086,783.7546251967,751.5472964454,706.0403372936,716.0791363265,544.6327233412,523.2460636844,530.6197260829,517.1079537586,499.1943321681
DynamoDB($),672.182605523,683.920219638,642.0180666744,705.4447899136,658.4729082763,647.1978206783,651.5117199405,663.8477019773,654.2930475985,655.7012319078,645.2571906386,724.7425890195,635.6114671382,628.9248748891,631.238076689,661.1259245514,648.7474603273
S3($),593.1026131034,593.7516784796,594.4966651183,595.460517023,596.5541907897,597.4949156165,598.3080835621,599.500431599,600.151920209,601.8055882952,600.8093194899,601.5337607129,601.7969086602,601.4019014143,600.7289558634,598.121836309,597.7601761981
DocumentDB (with MongoDB compatibility)($),557.936506282,553.4273705549,489.9341452145,514.1773689288,499.7812157416,546.9545588705,476.0671804972,509.1626792464,494.9409034734,496.9674175749,469.9276753016,513.0274603678,486.033489897,461.4877728144,487.8400388158,504.6679930941,494.9247097832
OpenSearch Service($),227.8303687901,227.8303686493,227.8303689619,227.8303686385,227.8303693175,227.8303699476,227.830369261,227.8303690267,227.8303739115,227.8303754464,227.8303653447,227.8696840977,227.830362554,227.8303644502,227.8303652489,227.8303691671,227.830367766
CloudWatch($),147.3355081591,147.4022863954,145.0950157239,144.3015686576,144.8296475894,145.1611984841,146.0816411853,144.7083624864,139.4929188724,137.1806106908,130.4701308835,124.3147200071,109.1736413671,106.7510164619,107.4717259005,105.1961246865,103.9677924392
Elastic Load Balancing($),146.3279646658,147.6889388776,144.091826687,143.184006444,144.7391785559,145.5082425054,145.6893996538,144.0680835495,137.2292234087,133.1808876676,127.34415397,127.6488365697,105.9432672618,99.915101275,100.2568673499,98.9296837338,97.8155054246
