Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Instances($),611.3623933347,602.6265931024,602.6886063075,614.4459837806,680.4103188034,680.4368083939,664.2214680616,663.6417013858,664.5180959705,664.4242776134,664.4263290593,670.3579738304,664.5630663746,664.4320820899,664.4384303056,657.499674916,655.0519422613
EC2-Other($),71.3622794434,71.4265222391,71.7180603469,74.6827788603,82.9544318167,87.4101073852,85.3541209897,95.5306617503,86.5971260914,84.137809038,83.7636742658,83.8948023785,82.0727852802,82.0068802626,83.053855364,82.7848932836,83.50123415
VPC($),9.8546292878,9.8528006684,9.8950852179,9.9673907207,10.0694487077,9.9825639139,10.088113831,10.0990712379,10.0977201329,10.1374047682,10.1433724449,10.0351633398,9.9011686347,9.9033014929,9.9136534999,9.9169700501,9.9900406213
CloudWatch($),4.4584714451,4.464388115,4.4591814516,4.4577614547,4.4581814579,4.4582614611,4.4580914643,4.4580914676,4.4580914708,4.4580914739,4.4580914771,1.6322047986,1.6314248018,1.631424805,1.6341448082,1.6313848114,1.6340348146
Elastic Load Balancing($),2.3100157245,2.3123336783,2.3202048305,2.3490668058,2.5105505381,3.5100595474,3.4238992301,4.5151013796,3.5265684369,3.2178482116,3.183655877,3.209133617,2.9499956853,2.9785498866,3.1801818353,3.2415510616,3.3661142297
S3($),1.3833225993,1.383919882,1.4329610569,1.5028280242,0.7947076848,1.2645260148,1.5049243705,1.4661806926,1.6223560226,2.5753343281,3.1770851567,3.5082758899,3.7119041491,4.0609874695,4.3310855766,4.5019318081,4.4462001634
Elastic Container Service for Kubernetes($),2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Kinesis($),0.4200004995,0.4200002405,0.420001221,0.420000555,0.4200003145,0.420000222,0.4200001665,0.4200015355,0.4200018685,0.420001221,0.420003811,0.4200031635,0.420003589,0.420003996,0.42000629,0.420008843,0.420010989
Secrets Manager($),0.1558999992,0.1559699992,0.1525316659,0.1612116659,0.1789849992,0.1818699992,0.1816599992,0.1881049992,0.1817699992,0.1818449992,0.1817849992,0.2024499992,0.2178449992,0.2178149992,0.2178549992,0.2204999992,0.2215149992
DynamoDB($),0.1491876037,0.1491860779,0.1491922331,0.1491882919,0.1491868795,0.1491863876,0.1491860778,0.1491946873,0.1491970831,0.1491934038,0.1492098661,0.1492067348,0.1492099697,0.1492133184,0.149228793,0.1492464611,0.1492618951
SQS($),0.0149116,0.0149268,0.0149684,0.0150176146,0.0152788,0.0290428,0.0359984,0.0362224,0.0375748,0.0383844,0.0387456,0.03884,0.0389872224,0.039084,0.0391784,0.0238988,0.0167788
Cost Explorer($),0.02,0.06,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03
Route 53($),0.1,,,,,,,,,,,,,,,,
Key Management Service($),0.002244,0.002838,0.002901,0.002919,0.002517,0.002763,0.002829,0.002361,0.002763,0.002898,0.002832,0.001725,0.002832,0.002346,0.002901,0.002832,0.002832
Service Catalog($),0.0,0.0056,0.0035,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
Lambda($),0.0002470526,0.0002077524,0.0002551101,0.0002037723,0.0002644729,0.0001795997,0.0002093467,0.0002174691,0.0002277753,0.0002013612,0.0002114256,0.0002609267,0.0001858418,0.0002370213,0.000188994,0.0002303079,0.0001712217
Glue($),8.2e-05,8.9e-05,9.3e-05,0.000127,9.3e-05,0.000128,0.000114,0.000105,0.000127,0.000129,9.3e-05,0.00013,0.000106,0.000125,0.000204,0.000207,0.000195
SNS($),0.0,0.0,0.0,5.49869e-05,8.36353e-05,8.37533e-05,6.5e-05,6.5e-05,6.75e-05,6.25e-05,6.5e-05,7.25e-05,7.46468e-05,7.25e-05,7.25e-05,6.81125e-05,7.55018e-05
CloudWatch Events($),,,,3.3e-05,7.8e-05,6.6e-05,,,,,,,3e-06,,,3.1e-05,1.5e-05
Simple Workflow Service($),1.3881e-06,1.3881e-06,1.3881e-06,1.3881e-06,1.8508e-06,1.8508e-06,1.8508e-06,1.3881e-06,1.8508e-06,1.8508e-06,1.3881e-06,1.8508e-06,1.8508e-06,1.3881e-06,1.8508e-06,1.8508e-06,1.3881e-06
Step Functions($),7.365e-07,7.365e-07,7.365e-07,9.82e-07,7.365e-07,9.82e-07,9.82e-07,7.365e-07,9.82e-07,9.82e-07,9.82e-07,7.365e-07,9.82e-07,9.82e-07,9.82e-07,7.365e-07,9.82e-07
CloudTrail($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total costs($),703.9936867144,695.2753776798,695.717543966,710.575967903,784.3855286973,790.2670493109,772.2620827702,782.9284821295,774.033089984,772.1648831512,772.3665563528,775.8816447657,768.0809950274,768.2635252115,769.8023891986,762.8148310418,761.2318240172
